"a","from, by","Preposition (before consonants)","I come from the city",21
"ab","from, by","Preposition (before vowels)","He was killed by Caesar",21
"abeo","go away","Present indicative first-person singular","I go away",553
"abesse","be away","Present active infinitive","to be away",445
"abii","go away","Perfect active first-person singular","I went away",553
"abire","go away","Present active infinitive","to go away",553
"abitum","go away","Accusative supine","in order to go away",553
"ablatum","take away","Accusative supine","in order to take away the items",556
"abs","from, by","Preposition (archaic)","He stands away from the crowd",21
"abstuli","take away","Perfect active first-person singular","I took away their fears",556
"absum","be away","Present indicative first-person singular","I am away",445
"ac","and","Coordinating conjunction","He saw and conquered",36
"ac","as soon as","Temporal usage","He left as soon as dawn came",36
"ac","than","Comparative usage","He is taller than me",36
"accedere","approach","Present active infinitive","to approach the gate",614
"accedo","approach","Present indicative first-person singular","I approach the gate",614
"accepi","receive","Perfect active first-person singular","I received the gift",110
"acceptum","receive","Accusative supine","in order to receive",110
"accessi","approach","Perfect active first-person singular","I approached the gate",614
"accessum","approach","Supine","in order to approach",614
"accidere","fall","Present active infinitive","to fall",799
"accidere","happen","Present active infinitive","to happen",799
"accidi","fall","Perfect active first-person singular","I fell",799
"accidi","happen","Perfect active first-person singular","It happened",799
"accido","fall","Present indicative first-person singular","I fall",799
"accido","happen","Present indicative third-person singular","It happens",799
"accipere","receive","Present active infinitive","to receive",110
"accipio","receive","Present indicative first-person singular","I receive the gift",110
"acer","sharp, piercing","Masculine nominative singular","He has a sharp sword",587
"aciei","edge","Genitive singular","The sharpness of the edge",439
"aciei","line of battle","Genitive singular","The might of the line of battle",439
"acies","edge","Nominative singular","The edge is keen",439
"acies","line of battle","Nominative singular","The line of battle advanced",439
"acre","sharp, piercing","Neuter nominative singular","That blade is sharp",587
"acris","sharp, piercing","Feminine nominative singular","She has a piercing gaze",587
"actum","act","Accusative supine","in order to act the scene",69
"actum","do","Accusative supine","in order to do the work",69
"actum","drive","Accusative supine","in order to drive the herd",69
"ad","to, toward","Preposition + acc","He walks to the city",14
"addere","add","Present active infinitive","to add more data",433
"addidi","add","Perfect active first-person singular","I added more data",433
"additum","add","Accusative supine","in order to add",433
"addo","add","Present indicative first-person singular","I add more data",433
"adducere","induce","Present active infinitive","to induce fear in him",886
"adducere","lead to","Present active infinitive","to lead him to the forum",886
"adduco","induce","Present indicative first-person singular","I induce fear in him",886
"adduco","lead to","Present indicative first-person singular","I lead him to the forum",886
"adductum","induce","Accusative supine","in order to induce fear",886
"adductum","lead to","Accusative supine","in order to lead him there",886
"adduxi","induce","Perfect active first-person singular","I induced fear in him",886
"adduxi","lead to","Perfect active first-person singular","I led him to the forum",886
"adeo","go to","Present indicative first-person singular","I go to the city",595
"adeo","so","Adverb","He is so tall",555
"adesse","be present","Present active infinitive","to be present at the event",279
"adhibeo","apply","Present indicative first-person singular","I apply pressure",959
"adhibere","apply","Present active infinitive","to apply pressure",959
"adhibitum","apply","Accusative supine","in order to apply pressure",959
"adhibui","apply","Perfect active first-person singular","I applied pressure",959
"adhuc","thus far","Adverb","We have come thus far",379
"adii","go to","Perfect active first-person singular","I went to the city",595
